id	name	age	country	hometown	height	arm_span	gender
231	Sergei Tiupyshev	21.0	RUS	Gatchina			1
232	Ivan ZEMLIAKOV	19.0	RUS	Tyumen			1
233	Pavel Danilov	23.0	RUS	Kemerovo			1
234	Denis Karpikov	23.0	RUS	Saint-Petersburg			1
235	Svetlana Tiuliush	57.0	RUS	Kizil			-1
236	Dmitrii Kostin	19.0	RUS	Tyumen			1
237	Iuliia OVCHINNIKOVA	19.0	RUS	Krasnoyarsk			0
238	Konstantin Mitin	31.0	RUS	Saint-Petersburg			1
239	Nikolai Morozov	27.0	RUS	Ekaterinburg			1
240	Eduard Daukaev	20.0	RUS	Ufa			1
241	Tagir Izmailov	26.0	RUS	Ufa			0
242	Igor Gusak	49.0	RUS	Moscow			1
243	Artem Koskov	19.0	RUS	Perm			1
244	Anastasiia Volkova	19.0	RUS	Krasnoyarsk			-1
245	Aleksey Zverev	18.0	RUS	Nizhnij Tagil			1
246	Danil Pudrikov	21.0	RUS	Krasnoyarsk			1
247	Sofiia Kuzakova	18.0	RUS	Krasnoyarsk			0
248	Marina SIUTKINA	18.0	RUS	Krasnoyarsk			-1
249	Alisa Leshkina	18.0	RUS	Tyumen			-1
250	Sofia Pomykalova	18.0	RUS	Miass			-1
251	Maksim RYZHOV	18.0	RUS	Ekaterinburg			1
252	Sergei Ekimov	19.0	RUS	Ishim			1
253	Varvara But	22.0	RUS	Irkutsk			-1
254	Danila UKOLOV	19.0	RUS	Tyumen			1
255	Kirill Beliankin	17.0	RUS	Angarsk			1
256	Alexandra Ivshina	17.0	RUS	Ivanteevka			-1
257	Sofia Ivanova	25.0	RUS	Moscow			-1
258	Dmitry Zadoya	24.0	RUS	Moscow			1
259	Anastasia Chelmakina	24.0	RUS	Yekaterinburg			-1
260	Alexandr Mezyaev	18.0	RUS	Chelyabinsk			1
261	Vladislav Litvinov	21.0	RUS	Kaliningrad			1
262	Leonid Litvinov	19.0	RUS	Kaliningrad			1
263	Varvara Panasina	20.0	RUS	Kaliningrad			-1
264	Ekaterina Cherednichenko	17.0	RUS	Kaliningrad			-1
265	Dmitrii Tunoshenskii	18.0	RUS	Perm			1
266	Egor Babichev	19.0	RUS	Kaliningrad			1
267	Elena Matiak-Iabluchkina	18.0	RUS	Sevastopol			-1
268	Kirill Polevoi	17.0	RUS	Vologda			1
269	Lev SHCHERBAKOV	17.0	RUS	Saint-Petersburg			1
270	Daniil Lisichenko	23.0	RUS	Moscow			1
271	Maxim Semenov	36.0	RUS	Moscow			1
272	Ilgam Makhmutov	36.0	RUS	Chelyabinsk			0
273	Daria GARKINA	19.0	RUS	Miass			-1
274	Maksim Maiorov	27.0	RUS	Moscow			1
275	Timur Abdurashitov	39.0	RUS	Ufa			1
276	Egor GOLUBTSOV	18.0	RUS	Novosibirsk			1
277	Mariia Pliaskina	18.0	RUS	Barnaul			0
278	Marta Vodilova	18.0	RUS	Gubkinsky			-1
279	Iurii KOVALEV	17.0	RUS	Omsk	173.0		1
280	Maria Fiseyskaya	17.0	RUS	Moscow			-1
281	Mayya Basanets	22.0	RUS	Korolev			0
282	Alexandre Devaud	49.0	SUI	Naters			1
283	Andy Lauber	43.0	SUI	Reichenbach			1
284	Andrea Lietha		SUI				-1
285	Christoph Vonaesch	53.0	SUI	Seewen			1
286	Christian Zwahlen	47.0	SUI	Thun			1
287	Didier Berthold	40.0	SUI	Bramois			1
288	David Gisler	42.0	SUI	Uhwiesen			1
289	Johnny Schelker	54.0	SUI				1
290	Reto Hänggi	52.0	SUI	Ramlinsburg			1
291	Robert Rehnelt	57.0	SUI	Nidau			1
292	Pirmin Scheuber	35.0	SUI	Alpnach			1
293	Hanspeter Sigrist	62.0	SUI	Muri b. Bern			1
294	Lara Allet	45.0	SUI	Vex			-1
295	Christian Schlegel	61.0	SUI	Azmoos			1
296	Jean-Luc Ziltener	58.0	SUI	Genève			1
297	Alex Wydler	45.0	SUI	Zürich			1
298	Sebastian Stuppan	39.0	SUI	Sachseln			1
299	Christof Looser	46.0	SUI	Grabs			1
300	Nadine Basieux	36.0	SUI	Azmoos			-1
301	Loïc  Gaidioz	38.0	SUI	Scientrier - FRA			1
302	Alec Bronitz	50.0	BEL	Bruxelles			1
303	Johan Mus	51.0	BEL	Ledeburg			1
304	Jan Verschoten		BEL				1
305	Oliver Coenen		BEL				1
306	Muriel Sarkany	47.0	BEL	Habay			-1
307	Nathalie Hanssens	37.0	BEL	Erneuville			-1
308	Stephane Hanssens	35.0	BEL	Erneuville			0
309	Chloé Graftiaux	34.0	BEL	Namur			-1
310	Raphael Fernandez	35.0	BEL	Wavre			1
311	Nicolas Farcy	38.0	BEL	Sterrebeek			1
312	Sébastien Berthe	28.0	BEL	Vance			1
313	Lukas Geukens	27.0	BEL	Heverlee			1
314	Loïc Timmermans	26.0	BEL	Watermael - Boitsfort			1
315	Anak Verhoeven	25.0	BEL	Schriek			0
316	Chloe Caulier	25.0	BEL	Masnuy Saint Pierre	166.0		-1
317	Antoine Kauffmann	28.0	BEL	Braine le Chateau			1
318	Simon Lorenzi	25.0	BEL	Barchon	168.0	180.0	1
319	Thomas Salakenos	27.0	BEL	Chaumont Gistoux			1
320	Nicolas Collin	24.0	BEL	Bruxelles	179.0		1
