id	name	age	country	hometown	height	arm_span	gender
3998	Nimrod Marcus	22.0	ISR	Jerusalem	166.0		1
4017	Ayala Kerem	20.0	ISR	Misgav	163.0		-1
4058	Dmitriy Sorokin	35.0	UZB	Tashkent	180.0		1
4063	Murat Salim Şeren	54.0	TUR	Konya	177.0		1
4107	Thorben Perry Bloem	17.0	GER	Braunschweig	183.0	194.0	1
4121	Evdoxia - Aikaterini KALLIA	19.0	GRE	Athens	163.0	166.0	-1
4125	Matthaios VALSAMIDIS	23.0	GRE	Xanthi	175.0	180.0	1
4134	Panagiotis NANOUSIS	19.0	GRE	Athens	180.0	178.0	1
4165	Elza Elizabete Baraka	21.0	LAT	Riga	168.0	168.0	-1
4169	Ksenija Dobržinska	17.0	LAT	Riga	162.0	165.0	-1
4252	Christoph Schweiger	20.0	GER	Ingolstadt	187.0		1
4284	Nino Grünenfelder	20.0	SUI	Baar	172.0		1
4299	Sascha Lehmann	24.0	SUI	Burgdorf	164.0		1
4301	Michelle Hulliger	22.0	SUI	Ramsei	157.0		-1
4306	Nils Favre	30.0	SUI	Martigny	176.0	187.0	1
4320	Roxana Wienand	21.0	GER	Aschaffenburg	162.0		-1
4328	Alma Bestvater	26.0	GER	Weimar	161.0		-1
4330	Lucia Dörffel	22.0	GER	Chemnitz	165.0		-1
4378	Joris Leipus	22.0	LTU	Vilnius	179.0	192.0	1
10837	Iman Edrisi	28.0	IRI	Shiraz	169.0		1
11420	Ignacia Mellado Quinteros	19.0	CHI	Santiago	160.0		-1
11457	Dzmitry Nikanorau	24.0	BLR	Mar'ina Gorka	178.0		1
11462	Oriane Bertone	17.0	FRA	LES AVIRONS	164.0		-1
11464	Aleksandra Totkova	17.0	BUL	Plovdiv	162.0		-1
11466	Alessia Mabboni	17.0	ITA	Arco	152.0		-1
11468	Erin Mcneice	18.0	GBR	Rodmersham	160.0		-1
11481	Johannes Egger	19.0	ITA	Bruneck	179.0	188.0	1
11489	Amaury Cabezas	18.0	FRA	PERTHES	168.0	175.0	1
11490	Toby Roberts	17.0	GBR	Surrey	177.0		1
11494	Alessandro Mele	16.0	ITA	AVIGLIANA (TORINO)	167.0	171.0	1
11502	Jack Macdougall	16.0	GBR	Sheffield	178.0		1
11525	Elias Arriagada Krüger	21.0	GER	Berlin	169.0		1
11533	Victor SEBROS	26.0	GRE	Athens	180.0	190.0	1
11546	Sara Copar	16.0	SLO	Lasko	168.0		-1
11585	Luka Jerman	16.0	SLO	Radomlje	180.0	186.0	1
11587	David Runggatscher	17.0	AUT	Absam	170.0	178.0	1
11601	Andrea Biassoni	19.0	ITA	Milano	178.0		-1
11602	Sebastian Lucke	19.0	GER	Wuppertal	180.0		1
11603	Linus Bader	19.0	GER	Burgrieden-Rot	181.0		1
11608	Francesco Govoni	17.0	ITA	Modena	176.0	180.0	1
11614	Bianca Magalhaes de Castro	33.0	BRA	Rio de Janeiro - RJ	164.0		-1
11622	Justin Boukandja Bathol	18.0	FRA	HOSTUN	181.0		1
11630	Myrto ARGYRIOU	16.0	GRE	Athens	161.0	161.0	-1
11647	Filippos LAVRENTAKIS-RIGAKIS	16.0	GRE	Athens	169.0	170.0	1
11653	Agathe Calliet	18.0	FRA	Grenoble	158.0		-1
11657	Annika Stöckl	16.0	AUT	Wals	158.0		-1
11658	Sabina van Essen	16.0	NED	Arnhem	160.0		-1
11678	Levin Socher	17.0	SUI	Zeihen	170.0	175.0	1
11684	Liza Novak	17.0	SLO	Radeče	156.0	170.0	-1
11717	Philipp Göthert	20.0	GER	Essen	182.0		1
11740	Sandra Hopfensitz	19.0	GER	Freienried	165.0		-1
11750	Ludovica Merendi	19.0	ITA	Forlì	153.0		-1
11753	Ekaterina ZAVIALOVA	16.0	RUS	Krasnoyarsk	172.0		-1
11759	Vladislav SHUNEVICH	17.0	RUS	Saint-Petersburg	185.0		1
11766	Samuel Stefanik	18.0	SVK	Povazska Bystrica	170.0	179.0	1
11773	Silas Matzer	17.0	SUI	Thal	171.0	174.0	1
11783	Ryu NAKAGAWA	18.0	JPN	Osaka	171.0		1
11821	Alina IVANENKO	17.0	RUS	Krasnoyarsk	162.0		-1
11847	Oscar Baudrand	16.0	CAN	Salt Lake City, Utah	170.0		1
11850	Haruki UEMURA	17.0	JPN	Tokyo	174.0		1
11870	Magnus Silas Hjorth Sierslev	17.0	DEN	København	184.0	188.0	1
11886	Quinn O'Francia	17.0	USA	Seattle	175.0		1
11893	Ethan Pitcher	20.0	CAN	Edwards, CO	187.0		1
11915	Lovro Črep	17.0	SLO	Velenje	167.0		1
11977	Amir Reza Karam Zadeh	19.0	IRI	Qazvin	168.0		1
12032	Isaac Leff	17.0	USA	Pelham	178.0		1
12155	Tânia Chaves	26.0	POR	Braga	150.0		-1
12158	Eva Mol	37.0	NED	Amersfoort	173.0		-1
12164	Martha Evans	22.0	GBR		158.0	167.0	-1
12166	Agnes Lopez	52.0	GER		166.0		-1
12175	Eloi Vila Cullerés	33.0	ESP	SANT FRUITOS DE BAGES	190.0		1
12196	Federico Di felice	33.0	ITA	Avezzano	173.0		1
12199	Mehdi Pahnavar	40.0	GER	Oststainbek	183.0		1
12238	Pierre Shankland	18.0	GBR	Massy	177.0	177.0	1
12242	Rhys Conlon	15.0	GBR		165.0		1
12317	Jun YASUKAWA	18.0	JPN	Chiba	172.0		1
12324	Martina Demmel	20.0	GER	Böbing	157.0	160.0	-1
12329	Nikolay Rusev	16.0	BUL	Plovdiv	172.0		1
12348	Martina Buršíková	15.0	SVK	Bratislava	169.0		-1
12360	Lau Macià Llobet	16.0	ESP	Collbató	168.0	182.0	1
12361	David López Sánchez	16.0	ESP	Cáceres	172.0		1
12362	Andrés Ramos Sosa	32.0	ESP	Mérida	181.0		1
12371	Lily ABRIAT	15.0	FRA	BRIGNAIS	162.0		-1
12375	Victor LARZUL	27.0	FRA	Voiron	178.0	174.0	1
12383	Ariane Franken	16.0	AUT		165.0		-1
12397	Daria MEZENTSEVA	18.0	RUS	Novosibirsk	155.0		-1
12421	Sofia Ramstedt	15.0	SWE		166.0		-1
12422	Nathalie Vendsalu	15.0	SWE	Ekerö	163.0	163.0	-1
12428	Elise Frantzen Olsen	17.0	NOR	Lillehammer	174.0	178.0	-1
12442	Chris Hamper	64.0	NOR	Flekke	169.0	186.0	1
